ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
79E TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 315079,79E,CENTRAL HORIZON,1.33472713626235,103.849822984337,103.849822984337,315079,TOA PAYOH CENTRAL,CENTRAL HORIZON,29836.7668616194,35212.8680006806
2 BRADDELL RISE RAFFLES GIRLS' SCHOOL (SECONDARY) SINGAPORE 318871,2,RAFFLES GIRLS' SCHOOL (SECONDARY),1.3428994546147,103.84319823516,103.84319823516,318871,BRADDELL RISE,RAFFLES GIRLS' SCHOOL (SECONDARY),29099.4982548542,36116.5172016975
19 TOA PAYOH WEST SINGAPORE 318876,19,NIL,1.33462731435958,103.84019653899,103.84019653899,318876,TOA PAYOH WEST,19 TOA PAYOH WEST SINGAPORE 318876,28765.444683983,35201.8251203056
5 TOA PAYOH WEST SINGAPORE 318877,5,NIL,1.33482087585201,103.841763926532,103.841763926532,318877,TOA PAYOH WEST,5 TOA PAYOH WEST SINGAPORE 318877,28939.8783779824,35223.2287012395
20A TOA PAYOH WEST TEMPORARY SITE OFFICE SINGAPORE 318878,20A,TEMPORARY SITE OFFICE,1.33510802439591,103.839474913251,103.839474913251,318878,TOA PAYOH WEST,TEMPORARY SITE OFFICE,28685.1351876101,35254.9793621395
1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990,1,BEATTY SECONDARY SCHOOL,1.34179051106272,103.852064858056,103.852064858056,318990,TOA PAYOH NORTH,BEATTY SECONDARY SCHOOL,30086.2578909211,35993.9016601946
970 TOA PAYOH NORTH SINGAPORE 318992,970,NIL,1.34275019820697,103.851054937617,103.851054937617,318992,TOA PAYOH NORTH,970 TOA PAYOH NORTH SINGAPORE 318992,29973.8639080562,36100.0181237739
998 TOA PAYOH NORTH SINGAPORE 318993,998,NIL,1.34318410384285,103.850306353877,103.850306353877,318993,TOA PAYOH NORTH,998 TOA PAYOH NORTH SINGAPORE 318993,29890.5543399407,36147.9966009278
1000 TOA PAYOH NORTH BERITA HARIAN SINGAPORE 318994,1000,BERITA HARIAN,1.34336805203725,103.848402340851,103.848402340851,318994,TOA PAYOH NORTH,BERITA HARIAN,29678.6582954424,36168.3352633901
1004 TOA PAYOH NORTH SINGAPORE 318995,1004,NIL,1.34361382256618,103.846917053704,103.846917053704,318995,TOA PAYOH NORTH,1004 TOA PAYOH NORTH SINGAPORE 318995,29513.3618700998,36195.5103434585
